scenario,frame,frame_ms,fps_monitor,process_ms,memory_mib,nodes,draw_objects,draw_primitives,draw_calls
world_far_drag,292,60.3450,15.00,81.9640,105.6539,5,1389,80213,1278
world_far_drag,293,57.6180,15.00,81.9640,105.6553,5,1389,80213,1278
world_far_drag,294,56.4010,15.00,81.9640,105.6567,5,1389,80213,1278
world_far_drag,295,56.6390,15.00,81.9640,105.6580,5,1389,80213,1278
world_far_drag,296,67.4860,15.00,81.9640,105.6594,5,1389,80213,1278
world_far_drag,297,60.5580,16.00,83.9110,105.6626,5,1389,80213,1278
world_far_drag,298,58.3910,16.00,83.9110,105.6622,5,1389,80213,1278
world_far_drag,299,71.4370,16.00,83.9110,105.6636,5,1389,80213,1278
world_far_drag,300,69.1260,16.00,83.9110,105.6649,5,1389,80213,1278
world_far_drag,301,59.5780,16.00,83.9110,105.6663,5,1389,80213,1278
world_far_drag,302,91.9710,16.00,83.9110,105.6677,5,1389,80213,1278
world_far_drag,303,95.6320,16.00,83.9110,105.6691,5,1389,80213,1278
world_far_drag,304,56.2510,16.00,83.9110,105.6705,5,1389,80213,1278
world_far_drag,305,57.9500,16.00,83.9110,105.6718,5,1389,80213,1278
world_far_drag,306,55.6780,16.00,83.9110,105.6732,5,1389,80213,1278
world_far_drag,307,55.4390,16.00,83.9110,105.6746,5,1389,80213,1278
france_drag,0,150.1500,16.00,83.9110,106.1621,5,3942,288292,1755
france_drag,1,211.6030,18.00,211.3160,106.1704,5,3942,288292,1761
france_drag,2,200.2190,18.00,211.3160,106.1712,5,3942,288292,1761
france_drag,3,180.9480,18.00,211.3160,106.1744,5,3942,288292,1759
france_drag,4,159.5200,18.00,211.3160,106.1779,5,3942,288292,1761
france_drag,5,190.3460,18.00,211.3160,106.1805,5,3942,288292,1761
france_drag,6,176.5840,5.00,200.0550,106.1833,5,3942,288292,1759
france_drag,7,197.3160,5.00,200.0550,106.1888,5,3942,288292,1759
france_drag,8,162.2020,5.00,200.0550,106.1885,5,3942,288292,1757
france_drag,9,174.6970,5.00,200.0550,106.1900,5,3942,288292,1755
france_drag,10,176.0920,5.00,200.0550,106.1914,5,3942,288292,1759
france_drag,11,157.2990,5.00,197.1500,106.1928,5,3942,288292,1761
france_drag,12,156.9230,5.00,197.1500,106.1943,5,3942,288292,1761
france_drag,13,154.0960,5.00,197.1500,106.1958,5,3942,288292,1759
france_drag,14,157.3310,5.00,197.1500,106.1990,5,3942,288292,1761
france_drag,15,170.5810,5.00,197.1500,106.1986,5,3942,288292,1761
france_drag,16,190.8570,5.00,197.1500,106.1999,5,3942,288292,1759
france_drag,17,166.7720,6.00,190.6540,106.2013,5,3942,288292,1759
france_drag,18,163.0700,6.00,190.6540,106.2029,5,3942,288292,1757
france_drag,19,182.8090,6.00,190.6540,106.2045,5,3942,288292,1755
france_drag,20,163.4260,6.00,190.6540,106.2077,5,3942,288292,1759
france_drag,21,160.0790,6.00,190.6540,106.2073,5,3942,288292,1761
france_drag,22,168.3250,6.00,190.6540,106.2086,5,3942,288292,1761
france_drag,23,177.6620,6.00,182.5120,106.2100,5,3942,288292,1759
france_drag,24,162.3970,6.00,182.5120,106.2114,5,3942,288292,1761
france_drag,25,163.4370,6.00,182.5120,106.2128,5,3942,288292,1759
france_drag,26,154.2540,6.00,182.5120,106.2142,5,3942,288292,1759
france_drag,27,156.8620,6.00,182.5120,106.2176,5,3942,288292,1759
france_drag,28,158.0300,6.00,182.5120,106.2176,5,3942,288292,1757
france_drag,29,167.6280,6.00,167.3550,106.2189,5,3942,288292,1755
france_drag,30,180.7200,6.00,167.3550,106.2203,5,3942,288292,1757
france_drag,31,194.4850,6.00,167.3550,106.2217,5,3942,288292,1761
france_drag,32,210.7470,6.00,167.3550,106.2231,5,3942,288292,1761
france_drag,33,213.1340,6.00,167.3550,106.2263,5,3942,288292,1759
france_drag,34,170.6580,6.00,167.3550,106.2258,5,3942,288292,1761
france_drag,35,160.2610,6.00,212.9200,106.2272,5,3942,288292,1759
france_drag,36,157.1250,6.00,212.9200,106.2286,5,3942,288292,1761
france_drag,37,214.4500,6.00,212.9200,106.2300,5,3942,288292,1759
france_drag,38,177.5350,6.00,212.9200,106.2314,5,3942,288292,1757
france_drag,39,184.9800,6.00,212.9200,106.2345,5,3942,288292,1755
france_drag,40,163.4270,5.00,214.2390,106.2341,5,3942,288292,1757
france_drag,41,198.3790,5.00,214.2390,106.2362,5,3943,288294,1761
france_drag,42,192.4620,5.00,214.2390,106.2379,5,3942,288292,1761
france_drag,43,169.2300,5.00,214.2390,106.2393,5,3942,288292,1759
